Brand,Model,CPU,RAM (GB),Storage (GB),GPU,Purpose,Price ($),Screen (in),OS,Weight (kg),Battery Life (hrs),Release Year,Color
Lenovo,ThinkPad X1 Carbon Gen 9,Intel i7,16,512,Intel Iris Xe,Business,2299,14,Windows 11,0.9,8,2024,Black
MSI,Creator 17,Intel i9,32,1000,NVIDIA RTX 3070,Content Creation,2499,17.3,Windows 11,1.6,9,2024,Silver
Acer,Predator Helios 300,Intel i7,16,512,NVIDIA RTX 3060,Gaming,1799,15.6,Windows 11,1.5,8,2024,Pine Grey
HP,Spectre x360 14,Intel i7,16,512,Intel Iris Xe,Hybrid Use,1899,13.5,Windows 11,2.8,10,2024,Black
ASUS,Vivobook Pro 14,Intel i7,16,512,Intel Iris Xe,Productivity,1199,14,Windows 11,2.3,9,2024,Platinum Silver
Lenovo,ThinkPad P1 Gen 4,Intel i9,32,1000,NVIDIA RTX 3070,Workstation,2599,15.6,Windows 11,1.4,7,2024,Pure White
Acer,Swift 5,Intel i7,16,512,Intel Iris Xe,Ultrabook,1699,14,Windows 11,1.3,8,2024,Nightfall Blue
MSI,GF65 Thin,Intel i7,16,512,NVIDIA GTX 1660 Ti,Gaming,1299,15.6,Windows 11,1.1,16,2024,Black
Dell,Alienware X17,Intel i9,32,1000,NVIDIA RTX 3080,Gaming/Workstation,2799,17.3,Windows 11,1.5,8,2024,Black
HP,Envy 13,Intel i5,8,256,Intel Iris Xe,Lightweight Use,1099.99,13.3,Windows 11,2.2,10,2024,Black
Lenovo,ThinkPad L15,Intel i5,8,256,Intel UHD,Budget,749,15.6,Windows 11,2.4,6,2024,Carbon Gray
ASUS,VivoBook 14,AMD Ryzen 5,8,512,AMD Radeon Vega,Everyday Use,699,14,Windows 11,1.3,7,2024,Dragonfly Blue
MSI,Summit E14,Intel i7,16,512,Intel Iris Xe,Productivity,1599,14,Windows 11,2.1,8,2024,Transparent Silver
HP,Omen 16,AMD Ryzen 7,16,512,NVIDIA RTX 3070,Gaming,1799,16.1,Windows 11,1.2,10,2024,Black
Dell,XPS 13,Intel i5,8,256,Intel Iris Xe,Productivity,1299,13.4,Windows 11,2.5,18,2024,Silver
Lenovo,Yoga 7i 14,Intel i7,16,512,Intel Iris Xe,Hybrid Use,1299,14,Windows 11,1.5,7,2024,Space Gray
ASUS,ROG Flow Z13,Intel i7,16,512,NVIDIA RTX 3050,Gaming/Hybrid,1999,13.4,Windows 11,1.2,12,2024,Black
Acer,Nitro 5,AMD Ryzen 7,16,512,NVIDIA RTX 3060,Gaming,1399,15.6,Windows 11,1.4,10,2024,Silver
Dell,Inspiron 14 5000,Intel i7,16,512,Intel Iris Xe,Everyday Use,999,14,Windows 11,1.9,6,2024,Black
HP,Spectre x360 13,Intel i7,16,512,Intel Iris Xe,Hybrid Use,1599,13.3,Windows 11,1.6,15,2024,Black
MSI,GE76 Raider,Intel i9,32,1000,NVIDIA RTX 3080,Gaming/Workstation,3199,17.3,Windows 11,2.5,8,2024,Dragonfly Blue
Lenovo,ThinkPad X1 Yoga Gen 6,Intel i7,16,512,Intel Iris Xe,Business,1899,14,Windows 11,1.4,9,2024,Transparent Silver
Dell,Alienware M15 R6,Intel i9,32,1000,NVIDIA RTX 3080,Gaming,2599,15.6,Windows 11,4.5,6,2024,Space Gray
ASUS,ROG Strix G15,AMD Ryzen 9,16,512,NVIDIA RTX 3070,Gaming,1799,15.6,Windows 11,0.99,7,2024,Black
HP,Spectre x360 13.5,Intel i7,16,512,Intel Iris Xe,Hybrid Use,1599,13.5,Windows 11,1.3,10,2024,Phantom Black
Acer,Predator Triton 500,Intel i7,16,512,NVIDIA RTX 3060,Gaming,1699,15.6,Windows 11,1.6,12,2024,Platinum Silver
Lenovo,IdeaPad 5 15,Intel i5,8,512,Intel Iris Xe,Everyday Use,899,15.6,Windows 11,2.3,13,2024,Nightfall Blue
Dell,XPS 15 9500,Intel i7,16,512,NVIDIA GTX 1650,Productivity,1799,15.6,Windows 11,1.7,8,2024,Pine Grey
MSI,GF63 Thin 10SCSR,Intel i5,8,512,NVIDIA GTX 1650,Gaming,999,15.6,Windows 11,1.4,7,2024,Space Gray
HP,Omen 15,Intel i7,16,512,NVIDIA RTX 3070,Gaming,1799,15.6,Windows 11,1.4,8,2024,Black
ASUS,ZenBook Duo 14,Intel i7,16,512,Intel Iris Xe,Productivity,1699,14,Windows 11,1.8,18,2024,Silver
Apple,MacBook Pro 14 M1 Pro,Apple M1 Pro,16,512,Apple GPU,Professional Use,1999,14.2,macOS,1.6,7,2024,Eclipse Grey
Lenovo,ThinkPad L15 Gen 1,Intel i5,8,256,Intel UHD,Budget,699,15.6,Windows 11,2.9,10,2024,Platinum Grey
Dell,Inspiron 15 5000,Intel i5,8,512,Intel Iris Xe,Everyday Use,799,15.6,Windows 11,1.8,7,2024,Black
ASUS,VivoBook Pro 15,AMD Ryzen 7,16,512,AMD Radeon Vega,Everyday Use,1099,15.6,Windows 11,1.1,9,2024,Pure White
HP,Elite Dragonfly G2,Intel i7,16,512,Intel Iris Xe,Business,2199,13.3,Windows 11,2,14,2024,Shadow Black
Lenovo,Legion 5 Pro,AMD Ryzen 9,32,512,NVIDIA RTX 3070,Gaming,2199,16,Windows 11,2,20,2024,Pine Grey
Acer,Aspire 5,Intel i5,8,256,Intel UHD,Everyday Use,649,15.6,Windows 11,1.6,9,2024,Black
MSI,Creator M16,Intel i7,16,512,NVIDIA RTX 3050,Content Creation,1599,16,Windows 11,1.7,8,2024,Lunar Light
Apple,MacBook Air M2,Apple M2,8,256,Apple GPU,Student Use,1099,13.6,macOS,1.8,6,2024,Black
Lenovo,Yoga Slim 7i,Intel i7,16,512,Intel Iris Xe,Ultrabook,1399,14,Windows 11,1.8,12,2024,Silver
HP,Pavilion 14,Intel i5,8,512,Intel Iris Xe,Everyday Use,749,14,Windows 11,2.1,4,2024,Transparent Silver
MSI,GE66 Raider,Intel i9,32,1000,NVIDIA RTX 3080,Gaming,2899,15.6,Windows 11,1.8,15,2024,Black
Lenovo,ThinkPad X13,Intel i5,8,256,Intel UHD,Business,899,13.3,Windows 11,2.3,18,2024,Silver
Dell,Latitude 14 5000,Intel i5,8,512,Intel UHD,Business,799,14,Windows 11,1.4,10,2024,Black
ASUS,ZenBook 14,Intel i7,16,512,Intel Iris Xe,Ultrabook,1499,14,Windows 11,1.7,6,2024,Nightfall Blue
HP,Envy 15,Intel i7,16,512,NVIDIA GTX 1650,Productivity,1399,15.6,Windows 11,2,8,2024,Moonlight White
Lenovo,ThinkPad P15,Intel i9,32,1000,NVIDIA RTX 4000,Workstation,2599,15.6,Windows 11,2.3,10,2024,Storm Grey
Dell,Precision 7560,Intel i7,16,512,NVIDIA RTX A2000,Workstation,2299,15.6,Windows 11,2.5,10,2024,Black
Acer,Nitro 7,Intel i7,16,512,NVIDIA RTX 3060,Gaming,1699,15.6,Windows 11,2.4,12,2024,Carbon Gray
HP,EliteBook 840 G8,Intel i7,16,512,Intel Iris Xe,Business,1899,14,Windows 11,1.8,12,2024,Silver
ASUS,TUF Gaming A15,AMD Ryzen 7,16,512,NVIDIA RTX 3060,Gaming,1599,15.6,Windows 11,1.9,6,2024,Fortress Gray
Lenovo,IdeaPad 3 14,Intel i5,8,256,Intel UHD,Everyday Use,699,14,Windows 11,2,8,2024,Black
Dell,Inspiron 13 5000,Intel i5,8,256,Intel UHD,Everyday Use,699,13.3,Windows 11,2.2,15,2024,Black
Acer,Aspire 7,Intel i7,16,512,NVIDIA GTX 1650,Gaming,1199,15.6,Windows 11,1.5,7,2024,Black
HP,Pavilion x360 14,Intel i5,8,512,Intel Iris Xe,Hybrid Use,849,14,Windows 11,1.7,7,2024,Silver
ASUS,VivoBook S14,Intel i7,8,512,Intel Iris Xe,Productivity,949,14,Windows 11,2,10,2024,Pine Grey
MSI,GE75 Raider,Intel i9,32,1000,NVIDIA RTX 3070,Gaming/Workstation,2899,17.3,Windows 11,2.5,9,2024,Black
Apple,MacBook Pro 13 M2,Apple M2,8,256,Apple GPU,Professional Use,1299,13.3,macOS,1.3,7,2024,Silver
Lenovo,ThinkPad L14,Intel i7,16,512,Intel UHD,Business,999,14,Windows 11,2,6,2024,Black
Dell,Latitude 13 5000,Intel i5,8,256,Intel UHD,Business,799,13.3,Windows 11,1.3,21,2024,Nightfall Blue
ASUS,ROG Strix G17,AMD Ryzen 9,16,512,NVIDIA RTX 3070,Gaming,1799,17.3,Windows 11,1,8,2024,Transparent Silver
Apple,MacBook Pro 16 M1 Pro,Apple M1 Pro,32,1000,Apple GPU,Professional Use,2499,16.2,macOS,2.3,6,2024,Black
Dell,XPS 13 9305,Intel i7,16,512,Intel Iris Xe,Ultrabook,1399,13.4,Windows 11,1.3,9,2024,Carbon Gray
Lenovo,Legion 7i,Intel i9,32,1000,NVIDIA RTX 3080,Gaming,2499,15.6,Windows 11,1.7,8,2024,Silver
HP,Spectre x360 14,Intel i7,16,512,Intel Iris Xe,Hybrid Use,1599,14,Windows 11,1.5,7,2024,Black
MSI,GS66 Stealth,Intel i9,32,1000,NVIDIA RTX 3080,Gaming,2599,15.6,Windows 11,1.4,7,2024,Black
Lenovo,ThinkPad X1 Extreme Gen 4,Intel i9,32,1000,NVIDIA RTX 3060,Professional Use,2399,15.6,Windows 11,2,8,2024,Black
ASUS,ZenBook Flip 14,Intel i7,16,512,Intel Iris Xe,Hybrid Use,1499,14,Windows 11,1.5,6,2024,Dragonfly Blue
Apple,MacBook Air M2,Apple M2,8,256,Apple GPU,Student Use,999,13.6,macOS,1.4,7,2024,Transparent Silver
HP,Omen 17,Intel i7,16,512,NVIDIA RTX 3070,Gaming,1999,17.3,Windows 11,1.4,8,2024,Space Gray
ASUS,VivoBook Pro 14,AMD Ryzen 7,16,512,AMD Radeon Vega,Everyday Use,1099,14,Windows 11,1.2,7,2024,Black
Dell,Latitude 14 5000,Intel i5,8,256,Intel UHD,Business,799,14,Windows 11,2.1,12,2024,Phantom Black
Lenovo,Yoga Slim 7i,Intel i7,16,512,Intel Iris Xe,Ultrabook,1399,14,Windows 11,2,11,2024,Platinum Silver
Acer,Nitro 5,Intel i7,16,512,NVIDIA RTX 3060,Gaming,1599,15.6,Windows 11,1.3,8,2024,Nightfall Blue
HP,Pavilion 14,Intel i5,8,512,Intel Iris Xe,Everyday Use,799,14,Windows 11,2.3,9,2024,Pine Grey
MSI,GE76 Raider,Intel i9,32,1000,NVIDIA RTX 3070,Gaming,2599,17.3,Windows 11,2.4,7,2024,Space Gray
ASUS,TUF Gaming F15,Intel i7,16,512,NVIDIA RTX 3060,Gaming,1499,15.6,Windows 11,2.3,9,2024,Black
Dell,Inspiron 14 5000,Intel i5,8,512,Intel UHD,Everyday Use,699,14,Windows 11,1.3,18,2024,Silver
Acer,Swift 3,Intel i5,8,512,Intel Iris Xe,Everyday Use,799,14,Windows 11,1.8,12,2024,Eclipse Grey
Lenovo,IdeaPad 5 15,Intel i5,8,512,Intel Iris Xe,Everyday Use,899,15.6,Windows 11,2.7,13,2024,Platinum Grey
HP,EliteBook 850 G8,Intel i7,16,512,Intel Iris Xe,Business,1799,15.6,Windows 11,2.2,11,2024,Black
ASUS,ZenBook 14,Intel i7,16,512,Intel Iris Xe,Ultrabook,1399,14,Windows 11,1.4,12,2024,Pure White
MSI,Creator Z16,Intel i7,16,512,NVIDIA RTX 3060,Content Creation,1799,16,Windows 11,0.97,7,2024,Shadow Black
Lenovo,ThinkPad P1 Gen 3,Intel i9,32,1000,NVIDIA Quadro T1000,Workstation,2499,15.6,Windows 11,1.8,8,2024,Pine Grey
HP,Spectre x360 15,Intel i7,16,512,Intel Iris Xe,Hybrid Use,1699,15.6,Windows 11,1.8,6,2024,Black
ASUS,VivoBook S15,Intel i7,8,512,Intel Iris Xe,Everyday Use,999,15.6,Windows 11,1.7,15,2024,Lunar Light
Dell,XPS 13 9310,Intel i7,16,512,Intel Iris Xe,Ultrabook,1499,13.4,Windows 11,2,8,2024,Black
Acer,Aspire 7,Intel i7,16,512,NVIDIA GTX 1650,Gaming,1199,15.6,Windows 11,2.3,9,2024,Silver
Lenovo,ThinkPad T14s,Intel i7,16,512,Intel Iris Xe,Business,1699,14,Windows 11,1.3,15,2024,Transparent Silver
ASUS,ROG Flow Z13,Intel i7,16,512,NVIDIA RTX 3050,Gaming,1799,13.4,Windows 11,2.3,8,2024,Black
HP,Envy x360 13,Intel i5,8,512,Intel Iris Xe,Hybrid Use,999,13.3,Windows 11,1.2,8,2024,Silver
Dell,Alienware m15,Intel i9,32,1000,NVIDIA RTX 3080,Gaming,2699,15.6,Windows 11,1.3,7,2024,Black
Lenovo,Legion 5 Pro,AMD Ryzen 7,16,512,NVIDIA RTX 3070,Gaming,1599,16,Windows 11,2.1,9,2024,Nightfall Blue
Apple,MacBook Pro 14 M1 Pro,Apple M1 Pro,16,512,Apple GPU,Professional Use,1999,14.2,macOS,1.3,21,2024,Moonlight White
MSI,Stealth GS66,Intel i7,16,512,NVIDIA RTX 3060,Gaming,1599,15.6,Windows 11,2.5,8,2024,Storm Grey
ASUS,TUF Dash F15,Intel i7,16,512,NVIDIA RTX 3070,Gaming,1799,15.6,Windows 11,2.3,12,2024,Black
Dell,Inspiron 15 5000,Intel i5,8,256,Intel UHD,Everyday Use,749,15.6,Windows 11,1.5,9,2024,Carbon Gray
Acer,Predator Helios 300,Intel i7,16,512,NVIDIA RTX 3070,Gaming,1799,15.6,Windows 11,1.6,10,2024,Silver
ASUS,ZenBook 13,Intel i7,8,512,Intel Iris Xe,Ultrabook,1299,13.3,Windows 11,1.8,10,2024,Fortress Gray
Apple,MacBook Pro 13 M2,Apple M2,8,256,Apple GPU,Professional Use,1299,13.3,macOS,1.6,7,2024,Black
HP,Omen 15,Intel i7,16,512,NVIDIA GTX 1660,Gaming,1599,15.6,Windows 11,1.2,18,2024,Black
Dell,Inspiron 15 7000,Intel i7,16,512,Intel Iris Xe,Everyday Use,1499,15.6,Windows 11,1.6,8,2024,Black
Lenovo,ThinkPad X1 Carbon Gen 9,Intel i7,16,512,Intel Iris Xe,Business,1799,14,Windows 11,1,10,2024,Silver
ASUS,TUF Gaming A15,AMD Ryzen 7,16,512,NVIDIA RTX 3060,Gaming,1599,15.6,Windows 11,2,8,2024,Pine Grey
MSI,GL66 Leopard,Intel i7,16,512,NVIDIA RTX 3060,Gaming,1699,15.6,Windows 11,1.3,8,2024,Black
Lenovo,Legion 5,AMD Ryzen 9,32,1000,NVIDIA RTX 3070,Gaming,1899,15.6,Windows 11,1.6,7,2024,Silver
HP,Elite Dragonfly,Intel i7,16,512,Intel UHD,Business,2299,13.3,Windows 11,2.7,11,2024,Black
Apple,MacBook Air M1,Apple M1,8,256,Apple GPU,Student Use,999,13.3,macOS,2.5,20,2024,Nightfall Blue
Dell,XPS 13 9310,Intel i5,8,512,Intel Iris Xe,Ultrabook,1299,13.4,Windows 11,2.2,8,2024,Transparent Silver
ASUS,VivoBook 15,Intel i3,8,256,Intel UHD,Everyday Use,499,15.6,Windows 11,1.3,7,2024,Black
HP,Pavilion 15,Intel i5,8,512,Intel Iris Xe,Everyday Use,799,15.6,Windows 11,1.9,8,2024,Carbon Gray
Lenovo,IdeaPad 3 14,Intel i5,8,256,Intel UHD,Everyday Use,649,14,Windows 11,2.3,10,2024,Silver
ASUS,ROG Zephyrus G14,AMD Ryzen 9,32,1000,NVIDIA RTX 3080,Gaming,2299,14,Windows 11,1.3,8,2024,Black
MSI,Creator 15,Intel i9,32,1000,NVIDIA RTX 3070,Content Creation,2399,15.6,Windows 11,1.8,6,2024,Silver
Apple,MacBook Pro 16 M1 Max,Apple M1 Max,32,512,Apple GPU,Professional Use,2499,16.2,macOS,1.4,9,2024,Black
Dell,Alienware X17,Intel i9,32,1000,NVIDIA RTX 3080,Gaming,2999,17.3,Windows 11,1.5,20,2024,Storm Grey
HP,Spectre x360 13,Intel i7,16,512,Intel Iris Xe,Hybrid Use,1599,13.3,Windows 11,1.7,9,2024,Eclipse Grey
Acer,Swift 3,Intel i5,8,512,Intel Iris Xe,Everyday Use,799,14,Windows 11,2.1,7,2024,Pure White
MSI,Stealth 15M,Intel i7,16,512,NVIDIA RTX 3060,Gaming,1799,15.6,Windows 11,1.2,8,2024,Black
ASUS,ZenBook Flip 15,Intel i7,16,512,Intel Iris Xe,Hybrid Use,1499,15.6,Windows 11,2.4,20,2024,Silver
Lenovo,Legion 7i,Intel i9,32,1000,NVIDIA RTX 3080,Gaming,2499,15.6,Windows 11,1.6,10,2024,Phantom Black
Apple,MacBook Air M2,Apple M2,16,512,Apple GPU,Student Use,1299,13.6,macOS,1.6,8,2024,Pine Grey
ASUS,TUF Dash F15,Intel i7,16,512,NVIDIA RTX 3070,Gaming,1799,15.6,Windows 11,1.5,7,2024,Nightfall Blue
MSI,GE76 Raider,Intel i9,32,1000,NVIDIA RTX 3070,Gaming,2599,17.3,Windows 11,2.3,9,2024,Phantom Black
Lenovo,ThinkPad P1 Gen 4,Intel i9,32,1000,NVIDIA Quadro T1000,Workstation,2499,15.6,Windows 11,2.1,6,2024,Space Gray
Dell,XPS 13 9300,Intel i7,16,512,Intel Iris Xe,Ultrabook,1499,13.4,Windows 11,1.4,7,2024,Transparent Silver
HP,EliteBook 850 G7,Intel i7,16,512,Intel Iris Xe,Business,1799,15.6,Windows 11,1.1,10,2024,Slate Black
ASUS,VivoBook S14,Intel i7,16,512,Intel Iris Xe,Everyday Use,999,14,Windows 11,1.4,8,2024,Lunar Light
MSI,Creator Z16,Intel i7,16,512,NVIDIA RTX 3060,Content Creation,1799,16,Windows 11,1.1,12,2024,Black
Lenovo,Yoga Slim 7i,Intel i7,16,512,Intel Iris Xe,Ultrabook,1399,14,Windows 11,2,10,2024,Dragonfly Blue
HP,Spectre x360 14,Intel i7,16,512,Intel Iris Xe,Hybrid Use,1599,14,Windows 11,2.3,6,2024,Fortress Gray
ASUS,ROG Strix G17,AMD Ryzen 9,32,1000,NVIDIA RTX 3070,Gaming,2299,17.3,Windows 11,2.6,18,2024,Black
Dell,Latitude 7420,Intel i7,16,512,Intel Iris Xe,Business,1799,14,Windows 11,1.4,7,2024,Black
Lenovo,ThinkPad X13,Intel i7,16,512,Intel Iris Xe,Business,1699,13.3,Windows 11,1.5,8,2024,Nightfall Blue
HP,Pavilion x360,Intel i5,8,256,Intel UHD,Hybrid Use,699,14,Windows 11,1.3,10,2024,Platinum Silver
ASUS,ZenBook Pro Duo 15,Intel i9,32,1000,NVIDIA RTX 3080,Professional Use,2699,15.6,Windows 11,2.9,20,2024,Celestial Blue
Acer,Aspire 5,Intel i5,8,512,Intel Iris Xe,Everyday Use,649,15.6,Windows 11,1.3,7,2024,Graphite Grey
MSI,GS66 Stealth,Intel i7,16,512,NVIDIA RTX 3070,Gaming,1999,15.6,Windows 11,2,8,2024,Phantom Black
MSI,Creator 15,Intel i7,32,512,NVIDIA RTX 3060,Designing,1999,15.6,Windows 11,2.1,9,2024,Space Gray
Apple,MacBook Pro 16 M2,Apple M2 Pro,32,512,Apple GPU,Browsing,2499,16,macOS,2.1,9.5,2024,Space Gray
ASUS,ZenBook Flip 14,Intel i7,16,512,Intel Iris Xe,Office Work,1599,14,Windows 11,1.5,9,2024,Gray
Lenovo,ThinkPad L14,Intel i5,8,512,Intel UHD Graphics,Video Editing,749,14,Windows 11,1.8,7.5,2024,Black
HP,ProBook 440 G7,Intel i5,8,256,Intel UHD Graphics,Business,749,14,Windows 11,1.6,7.5,2024,Silver
Dell,Precision 5550,Intel i7,16,512,NVIDIA Quadro T1000,Gaming,1899,15.6,Windows 11,1.8,9,2024,Black
Apple,MacBook Pro 14 M1,Apple M1 Pro,16,512,Apple GPU,Gaming,1799,14,macOS,1.6,9.5,2024,Space Gray
ASUS,ROG Strix G17,AMD Ryzen 9,32,1000,NVIDIA RTX 3080,Professional,2399,17.3,Windows 11,2.8,9,2024,Eclipse Gray
MSI,Pulse GL66,Intel i7,16,512,NVIDIA RTX 3060,Gaming,1499,15.6,Windows 11,2.4,8.5,2024,Black
Lenovo,ThinkPad P1,Intel i7,32,512,NVIDIA Quadro T1000,Everyday Use,2199,15.6,Windows 11,1.8,9.5,2024,Black
Microsoft,Surface Laptop 5,Intel i7,16,512,Intel Iris Xe,Designing,1599.99,15,Windows 11,1.5,10,2024,Platinum
Dell,Alienware X14,Intel i9,32,1000,NVIDIA RTX 3060,Browsing,2299.99,14,Windows 11,1.8,9,2024,Lunar Light
Apple,MacBook Pro 14 M2,Apple M2,16,512,Apple GPU,Office Work,1999,14.2,macOS,1.6,17,2024,Space Gray
Lenovo,ThinkPad X1 Carbon Gen 11,Intel i7,16,512,Intel Iris Xe,Video Editing,1799,14,Windows 11,1.1,15,2024,Black
ASUS,ROG Flow Z13,Intel i9,16,512,NVIDIA RTX 4050,Business,2299.99,13.4,Windows 11,1.2,12,2024,Eclipse Gray
Acer,Predator Helios 300,Intel i7,16,512,NVIDIA RTX 3070,Gaming,1699,15.6,Windows 11,2,8,2024,Black Edition
MSI,GE76 Raider,Intel i9,32,1000,NVIDIA RTX 3080,Gaming,2899,17.3,Windows 11,2.4,7,2024,Titanium Gray
Samsung,Book Pro 360,Intel i7,16,512,Intel Iris Xe,Professional,1499,13.3,Windows 11,1.3,13,2024,Silver
HP,Spectre x360 14,Intel i7,16,512,Intel Iris Xe,Gaming,1599.99,14,Windows 11,1.4,12,2024,Nightfall Black
Gigabyte,Aero 15 OLED,Intel i7,16,1000,NVIDIA RTX 3060,Everyday Use,1999,15.6,Windows 11,2,8,2024,Black
Huawei,MateBook X Pro,Intel i7,16,512,Intel Iris Xe,Gaming,1799.99,13.9,Windows 11,1.3,14,2024,Space Gray
Lenovo,Legion 5 Pro,AMD Ryzen 9,32,1000,NVIDIA RTX 3070,Business,2099,16,Windows 11,2.5,6,2024,Phantom Blue
Dell,Inspiron 14 5000,Intel i5,8,512,Intel Iris Xe,Professional,899.99,14,Windows 11,1.4,10,2024,Silver
ASUS,ZenBook 14,Intel i7,16,512,Intel Iris Xe,Professional,1499,14,Windows 11,1.2,12,2024,Jade Black
MSI,GF63 Thin,Intel i5,8,512,NVIDIA GTX 1650,Gaming,799.99,15.6,Windows 11,1.8,6,2024,Black
Microsoft,Surface Book 4,Intel i7,16,512,NVIDIA GTX 1650,Designing,1799.99,15,Windows 11,1.7,10,2024,Cobalt Blue
Apple,MacBook Pro 16 M1,Apple M1,16,512,Apple GPU,Browsing,2499,16.2,macOS,2.1,21,2024,Silver
Acer,Aspire 5,Intel i5,8,512,Intel UHD,Office Work,699,15.6,Windows 11,1.6,7,2024,Charcoal Black
HP,Pavilion x360,Intel i5,8,512,Intel Iris Xe,Video Editing,849.99,14,Windows 11,1.5,9,2024,Natural Silver
Dell,XPS 15,Intel i9,32,1000,NVIDIA GTX 1650,Business,2399,15.6,Windows 11,2,8,2024,Platinum
Lenovo,IdeaPad Flex 5 14,AMD Ryzen 7,16,512,AMD Radeon,Gaming,1099,14,Windows 11,1.6,10,2024,Platinum Gray
ASUS,TUF Gaming F15,Intel i7,16,512,NVIDIA RTX 3050,Gaming,1499.99,15.6,Windows 11,2.2,8,2024,Fortress Gray
MSI,Stealth 15M,Intel i7,16,512,NVIDIA RTX 3060,Professional,1599,15.6,Windows 11,1.8,8,2024,Carbon Black
Samsung,Galaxy Book2 Pro 360,Intel i7,16,512,Intel Iris Xe,Gaming,1399.99,13.3,Windows 11,1.3,12,2024,Phantom Gray
Apple,MacBook Pro 13 M2,Apple M2,8,256,Apple GPU,Everyday Use,1299,13.3,macOS,1.4,17,2024,Silver
Lenovo,ThinkPad L15,Intel i5,8,256,Intel UHD,Gaming,799,15.6,Windows 11,2,10,2024,Black
Dell,G5 15 Gaming,Intel i7,16,512,NVIDIA GTX 1660,Business,1299,15.6,Windows 11,2.3,6,2024,Phantom Grey
ASUS,VivoBook 15,Intel i5,8,512,Intel UHD,Professional,649,15.6,Windows 11,1.8,7,2024,Transparent Silver
Acer,Nitro 5,Intel i7,16,512,NVIDIA RTX 3060,Professional,1499.99,15.6,Windows 11,2.3,8,2024,Black
Microsoft,Surface Go 4,Intel i3,4,64,Intel UHD,Gaming,499.99,10.5,Windows 11,0.4,10,2024,Platinum
Gigabyte,Aero 17 HDR,Intel i9,32,1000,NVIDIA RTX 3080,Gaming,2499,17.3,Windows 11,2.5,7,2024,Gunmetal Black
MSI,Pulse GL66,Intel i7,16,512,NVIDIA RTX 3060,Professional,1399,15.6,Windows 11,2.1,7,2024,Black
Lenovo,IdeaPad 5,AMD Ryzen 5,8,512,AMD Radeon,Gaming,649.99,14,Windows 11,1.4,10,2024,Abyss Blue
HP,Elite Dragonfly,Intel i5,16,512,Intel UHD,Gaming,1699,13.3,Windows 11,1,16,2024,Grape Purple
ASUS,ZenBook 13 OLED,Intel i7,16,512,Intel Iris Xe,Professional,1499,13.3,Windows 11,1.1,14,2024,Pine Gray
Samsung,Galaxy Book3 360,Intel i7,16,512,Intel Iris Xe,Designing,1299,13.3,Windows 11,1.3,12,2024,Burgundy
Microsoft,Surface Pro 8,Intel i5,8,256,Intel Iris Xe,Browsing,999,13,Windows 11,0.8,11,2024,Platinum
Lenovo,Yoga Slim 7i,Intel i7,16,512,Intel Iris Xe,Office Work,1099.99,14,Windows 11,1.3,14,2024,Slate Grey
Apple,MacBook Pro 15 M1 Pro,Apple M1 Pro,16,512,Apple GPU,Video Editing,2399,15,macOS,2,20,2024,Space Gray
Microsoft,Surface Laptop 5,Intel i7,16,512,Intel Iris Xe,Business,1699,15,Windows 11,1.3,11,2024,Platinum
Dell,XPS 13 2-in-1,Intel i5,8,256,Intel Iris Xe,Gaming,1499,13.4,Windows 11,1.2,10,2024,White
Apple,MacBook Pro 14 M2,Apple M2,16,512,Apple GPU,Gaming,1999,14.2,macOS,1.6,17,2024,Space Gray
Lenovo,ThinkPad X1 Carbon Gen 11,Intel i7,16,512,Intel Iris Xe,Professional,2299,14,Windows 11,1.1,15,2024,Black
ASUS,ZenBook 14 OLED,Intel i7,16,512,Intel Iris Xe,Gaming,1599,14,Windows 11,1.2,14,2024,Royal Blue
Acer,Predator Helios 300,Intel i7,16,512,NVIDIA RTX 3060,Everyday Use,1799,15.6,Windows 11,2,7,2024,Black
MSI,Stealth 15M,Intel i7,16,512,NVIDIA RTX 3060,Gaming,1699,15.6,Windows 11,1.7,8,2024,Carbon Black
Samsung,Galaxy Book Pro 360,Intel i5,8,256,Intel Iris Xe,Business,1399.99,13.3,Windows 11,1.1,12,2024,Mystic Navy
HP,Spectre x360 14,Intel i7,16,512,Intel Iris Xe,Professional,1899,13.5,Windows 11,1.3,14,2024,Nightfall Black
Gigabyte,Aero 16,Intel i9,32,1000,NVIDIA RTX 3070,Professional,2499,16,Windows 11,2,6,2024,Titanium Grey
Razer,Blade 14,AMD Ryzen 9,16,512,NVIDIA RTX 3070,Gaming,2199,14,Windows 11,1.8,7,2024,Mercury
Lenovo,Legion 5i,Intel i7,16,512,NVIDIA RTX 3060,Gaming,1499,15.6,Windows 11,2.3,9,2024,Phantom Blue
Dell,Inspiron 14 5000,Intel i5,8,512,Intel UHD Graphics,Professional,899,14,Windows 11,1.4,10,2024,Platinum Silver
ASUS,TUF Gaming A15,AMD Ryzen 7,16,512,NVIDIA GTX 1650,Gaming,1199,15.6,Windows 11,2.3,8,2024,Fortress Gray
Acer,Aspire 5,Intel i7,8,512,Intel Iris Xe,Gaming,849,15.6,Windows 11,1.5,11,2024,Charcoal Black
MSI,GF65 Thin,Intel i7,16,512,NVIDIA GTX 1660 Ti,Professional,1299,15.6,Windows 11,1.8,9,2024,Red
Samsung,Galaxy Book2 Pro 360,Intel i7,16,512,Intel Iris Xe,Casual Use,1699.99,13.3,Windows 11,1.3,10,2024,Silver
